incident_num,shooting_date,district,shooting_type_v2,victim_gender,victim_race,victim_ethnicity_NIBRS,multi_victim
I152071596,2015-08-29 02:42:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152071596,2015-08-29 02:42:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152071596,2015-08-29 02:42:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152071596,2015-08-29 02:42:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152071585,2015-08-29 01:46:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152071601,2015-08-29 02:32:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152073939,2015-09-06 01:14:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152073942,2015-09-06 01:54:00+00,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152073942,2015-09-06 01:54:00+00,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152075106,2015-09-10 04:38:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152075954,2015-09-12 22:27:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152077031,2015-09-16 12:12:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
152078475,2015-09-21 00:14:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152078988,2015-09-22 16:33:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152079378,2015-09-23 20:40:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152079776,2015-09-25 01:44:00+00,E18,Non-Fatal,Male,White,Not Hispanic or Latinx,f
I152080107,2015-09-26 01:10:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152080693,2015-09-28 04:59:00+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I152080898,2015-09-28 20:36:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152081264,2015-09-30 04:05:00+00,E18,Fatal,Male,White,Not Hispanic or Latinx,f
I152082012,2015-10-02 18:12:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152082409,2015-10-04 04:14:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152085312,2015-10-14 02:20:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152081498,2015-09-30 22:12:00+00,A7,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152086458,2015-10-18 23:55:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152087906,2015-10-22 11:45:00+00,D14,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152088337,2015-10-24 09:00:00+00,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152089426,2015-10-28 15:04:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I152090710,2015-11-01 16:09:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152090355,2015-10-31 17:56:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152091104,2015-11-03 00:25:00+00,C11,Fatal,Male,White,Hispanic or Latinx,f
I152092670,2015-11-08 00:01:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152094689,2015-11-14 16:55:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,t
I152094666,2015-11-14 16:55:00+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t
I152094639,2015-11-14 15:14:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152096420,2015-11-20 17:58:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
I152096420,2015-11-20 17:58:00+00,E13,Fatal,Male,White,Hispanic or Latinx,t
I152096809,2015-11-21 22:01:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152097955,2015-11-26 01:56:00+00,D14,Non-Fatal,Male,White,Hispanic or Latinx,f
I152097957,2015-11-26 02:00:00+00,D4,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152097957,2015-11-26 02:00:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152097957,2015-11-26 02:00:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
